Scale	mean_F	mean_P	sd_F	sd_P	n_F	n_P	pooled_sd	cohen_d	eff_FmP	p_mw	fdr	neglog10_fdr
QIAN880135	-0.04774664894843027	0.018656728620801682	0.13916548995283567	0.10494279085930937	17	48	0.11460650672046062	-0.5794032072820958	-0.06640337756923195	0.11878533659176753	0.2225191065606056	0.6526326924692011
FAUJ880105	1.5339910114660469	1.510437765824971	0.06078872454481458	0.053289799010397904	17	48	0.05529072231960485	0.42598911088423974	0.02355324564107586	0.12235470726949423	0.2253468851057688	0.6471484406581282
ISOY800102	1.0145060062364994	1.00100902019839	0.04785286200063413	0.03902232305190164	17	48	0.041443632048743934	0.3256709262893478	0.013496986038109338	0.12235470726949423	0.2253468851057688	0.6471484406581282
QIAN880139	0.05447433737912011	0.031196037331563294	0.05936293459057408	0.04193879784787001	17	48	0.0469802183975152	0.4954915247645595	0.023278300047556814	0.12235470726949423	0.2253468851057688	0.6471484406581282
RICJ880101	1.0710800497664001	1.0937778060284913	0.12974280452817333	0.10527232521525118	17	48	0.11199471789358245	-0.20266809621913223	-0.02269775626209114	0.12235470726949423	0.2253468851057688	0.6471484406581282
RICJ880102	1.0710800497664001	1.0937778060284913	0.12974280452817333	0.10527232521525118	17	48	0.11199471789358245	-0.20266809621913223	-0.02269775626209114	0.12235470726949423	0.2253468851057688	0.6471484406581282
NAKH920105	7.030264307018043	6.1373740404503225	2.5322914011307094	1.1935192691720042	17	48	1.6405135829611293	0.5442748391976445	0.8928902665677203	0.12600734974879535	0.22975340104197017	0.6387380510285632
QIAN880103	-0.010940199346694929	0.006725777556786431	0.08107328816153829	0.06402064639001613	17	48	0.0687533292204439	-0.25694722137511206	-0.01766597690348136	0.12600734974879535	0.22975340104197017	0.6387380510285632
RICJ880111	1.0038059906068564	0.9395462192034669	0.1944089226777915	0.1620742740842417	17	48	0.17086691063769094	0.3760808407172934	0.06425977140338945	0.12600734974879535	0.22975340104197017	0.6387380510285632
FASG760102	268.80575678243235	265.3155774775566	16.370368614857938	8.122711822946336	17	48	10.829714064463865	0.32227806607824333	3.4901793048757668	0.1297443739573055	0.23422499192952512	0.6303667673421862
NAKH900111	6.541901586709744	6.072449166990993	1.792695443279442	0.9191994215942567	17	48	1.2027198498209597	0.3903256604508813	0.46945241971875085	0.1297443739573055	0.23422499192952512	0.6303667673421862
SNEP660102	0.04693846490923119	0.042053645441261334	0.07550515382167221	0.04999659196844491	17	48	0.057556105802689037	0.08487056933135383	0.004884819467969856	0.1297443739573055	0.23422499192952512	0.6303667673421862
GEIM800105	1.0431534381067626	1.0259157660999205	0.04006469965916916	0.0320564485258531	17	48	0.0342680445963301	0.5030246753177207	0.01723767200684212	0.13356687743021542	0.23954453099779616	0.6206137399992896
ISOY800105	1.039461193243781	1.091677533823087	0.24099480910570015	0.1646793578423357	17	48	0.18703461357457452	-0.27918009175604497	-0.05221634057930613	0.13356687743021542	0.23954453099779616	0.6206137399992896
FAUJ880103	3.215779937862696	3.058982884173871	0.3005482820263728	0.371160170025961	17	48	0.354561707806954	0.4422278273044514	0.15679705368882502	0.13747594428346332	0.2449489951891024	0.6109243377333629
YANJ020101	0.646865685772501	0.6170156831475543	0.054554126226194	0.07436729570576203	17	48	0.06986968510956369	0.4272239466678362	0.029850002624946748	0.13747594428346332	0.2449489951891024	0.6109243377333629
FAUJ880102	0.6256531637411678	0.5933784879300655	0.07626047661953302	0.06577944847132504	17	48	0.0685931818125665	0.47052308929616365	0.032274675811102216	0.141472644175535	0.24963076246457305	0.602701896772494
PTIO830101	0.9140934756851387	0.8864839767387276	0.06189964352358022	0.0424493242032009	17	48	0.04813942627031953	0.5735319484568466	0.02760949894641107	0.141472644175535	0.24963076246457305	0.602701896772494
SNEP660104	-0.009885518530680967	0.028866128436603616	0.08473940897809439	0.06293505707779924	17	48	0.0691273135534583	-0.5605837255243071	-0.038751646967284586	0.141472644175535	0.24963076246457305	0.602701896772494
CHOC760104	0.10454331380061795	0.10040773950948575	0.029163517298578995	0.01676931187055455	17	48	0.02063478086635334	0.2004176500791232	0.004135574291132191	0.1455580312587846	0.2543777734778121	0.5945208382973658
QIAN880115	0.04312065421896695	0.07802314075325292	0.07914078615349816	0.052753629054108256	17	48	0.060554403888934766	-0.5763822991025064	-0.03490248653428597	0.1455580312587846	0.2543777734778121	0.5945208382973658
ROSM880104	0.22288028748555896	0.08480534536105168	0.47056777447899156	0.2359263279112596	17	48	0.3126695704893399	0.44160019124475297	0.13807494212450727	0.1455580312587846	0.2543777734778121	0.5945208382973658
CHAM830101	1.0065822428265612	1.0485318644839223	0.10077403236882009	0.07894187902563021	17	48	0.08501932945583256	-0.4934127559680877	-0.04194962165736116	0.14972869304004288	0.25918996609907263	0.5863818151168448
COHE430101	0.7368297329704039	0.7210810062659089	0.0409384557387706	0.020643828352578525	17	48	0.02726856264155348	0.5775415049011843	0.01574872670449501	0.1497331431212193	0.25918996609907263	0.5863818151168448
MCMT640101	15.07714300914073	14.462757763933928	1.27701289984641	2.0002956602371675	17	48	1.843684111010264	0.3332378044252628	0.6143852452068028	0.1497331431212193	0.25918996609907263	0.5863818151168448
AURR980114	1.006696346965803	0.9282967239746251	0.17699235058380883	0.11431580734445226	17	48	0.13306052767933924	0.5892027061557433	0.07839962299117786	0.15399899971972783	0.26406725030310696	0.5782854567808808
AURR980116	1.008440599946957	1.0040633225124005	0.1311344336735812	0.05241146320835107	17	48	0.08010380412992206	0.05464506314153215	0.004377277434556515	0.15399899971972783	0.26406725030310696	0.5782854567808808
JOND750102	2.1891641300993476	2.1615998587643857	0.05762811515252854	0.046711966774376765	17	48	0.049711926162141304	0.5544800506232218	0.027564271334961976	0.15399899971972783	0.26406725030310696	0.5782854567808808
QIAN880132	0.03558463108591253	0.09689034901764489	0.177464796496347	0.1420166127396434	17	48	0.15180552637261507	-0.40384378221682177	-0.061305717931732354	0.15835660230576581	0.26984754349300283	0.568881531099933
ROBB760113	-0.17261265255233185	0.274711924231901	1.507140717042641	1.160452579439169	17	48	1.2575873168236835	-0.3557006108443035	-0.4473245767842329	0.15835660230576581	0.26984754349300283	0.568881531099933
BEGF750103	0.692818759141527	0.7198961183753199	0.07834579057698154	0.05511123920020821	17	48	0.06184462028530275	-0.43782885413281003	-0.02707735923379284	0.1628069323445417	0.27571328790236627	0.5595423027240806
ZIMJ680103	7.410816033679765	9.229846644917945	3.289004371134506	4.102506661848289	17	48	3.911962035326018	-0.46499188765429417	-1.8190306112381798	0.1628069323445417	0.27571328790236627	0.5595423027240806
CHOC760101	157.3082635219415	153.57463794329706	8.11053130491945	9.0616763326169	17	48	8.8298272042211	0.42284242854260945	3.7336255786444497	0.16735095042878012	0.2790883228187278	0.5542583342081898
KARP850103	0.9090949637113008	0.9123965013775082	0.011434201177594907	0.008075514841131275	17	48	0.009047415208122068	-0.3649150160858615	-0.0033015376662073326	0.16735095042878012	0.2790883228187278	0.5542583342081898
OOBM770105	-9.214096215408064	-9.042951213099583	0.40182131388872705	0.3967945101294241	17	48	0.39807717219352023	-0.4299292053483577	-0.1711450023084815	0.16735095042878012	0.2790883228187278	0.5542583342081898
PALJ810112	1.0179228307167605	1.0012900159692946	0.09157196442821931	0.05346792397072477	17	48	0.0652870684968684	0.25476430678249457	0.016632814747465918	0.16735095042878012	0.2790883228187278	0.5542583342081898
WILM950104	1.045538123679232	0.7974516158611549	0.8011498957819602	0.4172493431944226	17	48	0.541192366187017	0.45840725649176506	0.24808650781807717	0.16735095042878012	0.2790883228187278	0.5542583342081898
NAKH920106	5.463989425180253	5.633794565949334	0.421872021892871	0.2502177717183855	17	48	0.3031641576908726	-0.5601095527335568	-0.16980514076908015	0.1719895951881703	0.284224497184076	0.546338493145466
ROBB760108	-0.17545570899401808	0.2609902804887161	1.4828033510366183	1.0911200158490417	17	48	1.2027403117820268	-0.3628763293350323	-0.43644598948273416	0.1719895951881703	0.284224497184076	0.546338493145466
WARP780101	7.453727825768633	7.3853752982289045	0.5222542105228424	0.3306919694896818	17	48	0.38839880430591656	0.17598542215359514	0.06835252753972831	0.1719895951881703	0.284224497184076	0.546338493145466
FASG760105	2.204283627798061	2.1870579026816044	0.047245240446938966	0.028606478857072955	17	48	0.03431306467148815	0.5020165141579411	0.01722572511645648	0.176723782195634	0.290294020603639	0.5371619095544399
LEWP710101	0.3424677840068865	0.3600531314250983	0.053451492694491023	0.0464203445089862	17	48	0.048303088600179366	-0.3640625874625029	-0.017585347418211827	0.176723782195634	0.290294020603639	0.5371619095544399
BURA740102	0.34576997938607307	0.3436269788966059	0.017238198445975315	0.012000329905219395	17	48	0.01352414648822795	0.15845735561446062	0.002143000489467195	0.1815544028715784	0.29556624515105173	0.529345165614469
QIAN880134	-0.0388843893414055	0.03166767259921584	0.16458759531192876	0.13861602682612198	17	48	0.1456513645914334	-0.48438998246619175	-0.07055206194062133	0.1815544028715784	0.29556624515105173	0.529345165614469
SNEP660103	-0.025318207731902253	-0.03979227492973975	0.03138797349415606	0.022603026078691864	17	48	0.025126798162954458	0.5760410500362618	0.0144740671978375	0.1815544028715784	0.29556624515105173	0.529345165614469
NAKH900113	1.2649175928059722	1.242648411286689	0.207707650344334	0.1794884615119107	17	48	0.18705896513407338	0.11904899347284399	0.022269181519283254	0.19150838356893762	0.3108459519650115	0.5074547839197764
GEIM800108	1.0093932367610905	1.0453077054436928	0.11248554009769252	0.08032077572274232	17	48	0.08959033902123048	-0.4008743473343876	-0.035914468682602285	0.19663339580266812	0.3182203180593475	0.4972720945217786
PALJ810105	1.0184559361416683	1.0599825160288954	0.1509629152788553	0.11298448380328831	17	48	0.12373903843744903	-0.33559804902006785	-0.04152657988722708	0.20185814394332385	0.32380177342228195	0.4897207769989452
QIAN880116	-0.04126781142792071	-0.01899519097565929	0.054705718101813156	0.05038839750841259	17	48	0.05151914543981166	-0.43231735041649477	-0.022272620452261416	0.20185814394332385	0.32380177342228195	0.4897207769989452
TANS770104	0.9613741533538233	1.0084770837301733	0.09211312543201489	0.10217176561176132	17	48	0.09971336072743285	-0.4723833399328123	-0.04710293037635005	0.20185814394332385	0.32380177342228195	0.4897207769989452
EISD860102	1.3241554888405997	1.4397520496985028	0.2501747769723764	0.36012082267648216	17	48	0.3356275342492979	-0.34441918216411904	-0.11559656085790304	0.20718338222680163	0.3284907538494507	0.4834768501793161
OOBM850104	-1.9752057266855345	-1.3705031470818811	2.417713672053464	1.0222677358846566	17	48	1.5047116615663794	-0.40187272754579983	-0.6047025796036534	0.20718338222680163	0.3284907538494507	0.4834768501793161
QIAN880127	0.0203256435952132	0.004674504591700311	0.046043737838907015	0.024517589114728268	17	48	0.031414455518698016	0.4982145558498464	0.01565113900351289	0.20718338222680163	0.3284907538494507	0.4834768501793161
WOLS870103	-0.2541629297288827	-0.14282962623830367	0.32498114995350547	0.22454053156268283	17	48	0.25384256869610433	-0.43859193539703434	-0.11133330349057904	0.20718338222680163	0.3284907538494507	0.4834768501793161
AURR980109	1.0132742796151923	0.9507280262715857	0.14581817552124052	0.10670561537877106	17	48	0.11787491336195152	0.5306154766922251	0.06254625334360664	0.2126098341881172	0.3341884462669544	0.47600856883294385
FINA770101	0.937360013268116	0.9175499634481361	0.05341961255044685	0.04524301139145965	17	48	0.04745326754262319	0.4174643990993086	0.019810049819979914	0.2126098341881172	0.3341884462669544	0.47600856883294385
NAGK730103	0.9896006414593213	1.0266548740424142	0.10781292415988364	0.07871307910836693	17	48	0.08703021009171603	-0.4257628764085901	-0.03705423258309293	0.2126098341881172	0.3341884462669544	0.47600856883294385
BHAR880101	0.4428373226172855	0.44835311113122095	0.013956054859547058	0.01590386736555979	17	48	0.01543249218288094	-0.35741398398724367	-0.005515788513935471	0.21813819158624653	0.34091883085050534	0.4673490095995106
HUTJ700102	43.62265207036534	42.82117498438456	2.577111925029731	2.498786509714041	17	48	2.51890941688315	0.31818416359430285	0.8014770859807783	0.21813819158624653	0.34091883085050534	0.4673490095995106
AVBF000102	0.22624795584712934	0.21143199902343024	0.04153892307899221	0.03759836354996639	17	48	0.03863723229963074	0.3834632022501441	0.0148159568236991	0.22376911333711622	0.34674703964703274	0.45998723802813485
CHOP780210	1.0094081767712708	1.049675059077023	0.15533088117848132	0.11445318952466912	17	48	0.1260965209925228	-0.31933380864758254	-0.04026688230575215	0.22376911333711622	0.34674703964703274	0.45998723802813485
ROBB760102	-1.445405413619029	-1.1862319379522441	0.7965142746706243	0.5993617987641876	17	48	0.6550776572103874	-0.39563778861037807	-0.25917347566678495	0.22376911333711622	0.34674703964703274	0.45998723802813485
PALJ810115	0.9925892643854483	1.0266650631492515	0.1243678130117734	0.10360826296857994	17	48	0.10925485263390337	-0.31189277128024856	-0.03407579876380329	0.2295032244561009	0.3526355724086719	0.45267388000732184
QIAN880137	-0.05046542014288257	-0.045857394769996944	0.05071799237353185	0.044275143246870166	17	48	0.0459969955116769	-0.10018100794683042	-0.004608025372885627	0.2295032244561009	0.3526355724086719	0.45267388000732184
VASM830101	0.15809547066680874	0.14902707596142323	0.026274098384408	0.020499073048251108	17	48	0.022109114596423642	0.4101654394994364	0.009068394705385507	0.2295032244561009	0.3526355724086719	0.45267388000732184
ANDN920101	4.329224271445663	4.353004512143944	0.08028856819643153	0.051688958100479535	17	48	0.06025241103463362	-0.3946769978152615	-0.02378024069828033	0.23534111501139005	0.3575877497534176	0.446617367688261
FINA910102	1.3629610170478421	1.3888042137033068	0.40055336024402055	0.28222396851170733	17	48	0.3164950719384082	-0.08165434139996303	-0.02584319665546464	0.23533599846022493	0.3575877497534176	0.446617367688261
NAKH920104	5.647713002054438	5.748480757970769	0.3953692617639481	0.29444694119539033	17	48	0.3230785128862157	-0.3118986620810028	-0.10076775591633069	0.23534111501139005	0.3575877497534176	0.446617367688261
RICJ880109	1.0372650065736604	0.9967197398358589	0.0971668623461047	0.08653263616747371	17	48	0.08935336937263953	0.4537631543440893	0.040545266737801455	0.23533599846022493	0.3575877497534176	0.446617367688261
RADA880106	151.52488929437436	147.12439642633518	10.146851054345104	11.91933206371518	17	48	11.49509888164568	0.38281470332242934	4.40049286803918	0.24128333908960364	0.3645911228784895	0.4381939098220775
RICJ880116	0.9937423237935445	0.9707142832935848	0.09158728575026368	0.05204992840869767	17	48	0.06443205622894717	0.3574003663352597	0.023028040499959768	0.24127819717609977	0.3645911228784895	0.4381939098220775
KIMC930101	-0.39686368812827644	-0.383838475228464	0.03237976278608186	0.03628800374892554	17	48	0.035336407720061934	-0.3686060281791888	-0.013025212899812455	0.2473304137750408	0.372698998167899	0.42864177464819425
GARJ730101	0.5800292604458773	0.5373745343840037	0.12808182677787625	0.09554297328596183	17	48	0.10476859440943147	0.407132751014876	0.042654726061873594	0.25348281814395507	0.37780681614371503	0.4227302110862339
PALJ810116	1.028926573350993	1.067594203331224	0.18071051936403248	0.11316157034275519	17	48	0.13359267017577564	-0.2894442481713544	-0.0386676299802311	0.25348281814395507	0.37780681614371503	0.4227302110862339
RACS820104	1.1529252313706906	1.1875902260798734	0.08850587807275458	0.09003451719579093	17	48	0.08964876071247377	-0.3866756710710394	-0.03466499470918283	0.25348281814395507	0.37780681614371503	0.4227302110862339
WILM950103	0.8161858269712089	0.6969762609530539	0.4505475744114692	0.45355177456139145	17	48	0.45279069138124617	0.26327742218927713	0.11920956601815502	0.25348281814395507	0.37780681614371503	0.4227302110862339
GEOR030105	1.0051122164462718	1.0015446193701687	0.05410362946457671	0.03197884717070749	17	48	0.03881164055033186	0.09192080070608087	0.0035675970761031017	0.26610533627901056	0.3934043755259967	0.4051608140754818
KANM800103	0.9937884369595984	0.9471425846469133	0.1293082308789695	0.09960805800790491	17	48	0.1079280229372299	0.4321940775271498	0.04664585231268514	0.26610533627901056	0.3934043755259967	0.4051608140754818
SUYM030101	0.05256649726766647	0.041124212266422905	0.04502496114058844	0.0399239347693025	17	48	0.04127919278352997	0.2771925570649466	0.011442285001243564	0.26610533627901056	0.3934043755259967	0.4051608140754818
